,Weather_key,is_day,temperature,sunset,sunrise,precipitation
1885,1885,0,11.8,2019-10-10T17:43,2019-10-10T06:25,0.0
1886,1886,1,10.1,2019-12-23T16:44,2019-12-23T07:49,0.0
1887,1887,0,12.9,2019-10-10T17:44,2019-10-10T06:26,0.0
1888,1888,1,-1.4,2019-12-25T16:44,2019-12-25T07:49,0.0
1889,1889,1,15.1,2019-10-11T17:41,2019-10-11T06:26,0.0
1890,1890,0,-0.4,2019-12-25T16:45,2019-12-25T07:49,0.0
1891,1891,1,15.8,2019-10-11T17:41,2019-10-11T06:26,0.0
1892,1892,1,15.5,2019-10-11T17:42,2019-10-11T06:27,0.0
1893,1893,0,14.2,2019-10-11T17:41,2019-10-11T06:26,0.0
1894,1894,0,1.6,2019-12-27T16:47,2019-12-27T07:50,0.0
1895,1895,1,12.5,2019-10-12T17:40,2019-10-12T06:28,0.0
1896,1896,0,2.2,2019-12-28T16:47,2019-12-28T07:50,0.0
1897,1897,1,12.6,2019-10-13T17:37,2019-10-13T06:29,0.0
1898,1898,1,3.9,2019-12-28T16:47,2019-12-28T07:50,0.0
1899,1899,1,4.2,2019-12-28T16:47,2019-12-28T07:50,0.0
1900,1900,0,1.9,2019-10-15T17:35,2019-10-15T06:32,0.0
1901,1901,0,0.9,2019-12-28T16:48,2019-12-28T07:51,0.0
1902,1902,1,-2.2,2019-11-16T16:51,2019-11-16T07:12,0.0
1903,1903,0,0.9,2019-11-18T16:49,2019-11-18T07:15,0.3
1904,1904,0,3.5,2019-10-15T17:35,2019-10-15T06:32,0.0
1905,1905,1,13.5,2019-10-15T17:34,2019-10-15T06:31,0.0
1906,1906,1,3.0,2019-11-20T16:47,2019-11-20T07:17,0.0
1907,1907,1,12.5,2019-10-15T17:34,2019-10-15T06:31,0.0
1908,1908,1,5.7,2019-11-21T16:46,2019-11-21T07:19,0.0
1909,1909,0,13.8,2019-10-15T17:34,2019-10-15T06:31,0.0
1910,1910,0,6.1,2019-11-21T16:47,2019-11-21T07:19,0.3
1911,1911,0,7.6,2019-10-16T17:33,2019-10-16T06:32,0.0
1912,1912,1,2.4,2019-11-22T16:46,2019-11-22T07:20,0.0
1913,1913,0,-0.7,2019-11-22T16:46,2019-11-22T07:20,0.0
1914,1914,0,1.1,2019-10-19T17:28,2019-10-19T06:37,0.0
1915,1915,0,-2.0,2019-11-22T16:47,2019-11-22T07:21,0.0
1916,1916,0,-1.7,2019-11-22T16:46,2019-11-22T07:20,0.0
1917,1917,1,13.2,2019-10-22T17:22,2019-10-22T06:40,0.0
1918,1918,1,3.5,2019-11-23T16:45,2019-11-23T07:21,0.0
1919,1919,1,14.0,2019-10-24T17:20,2019-10-24T06:43,0.0
1920,1920,0,2.4,2019-11-23T16:46,2019-11-23T07:22,0.0
1921,1921,0,-0.6,2019-11-24T16:44,2019-11-24T07:22,0.0
1922,1922,0,6.5,2019-10-24T17:20,2019-10-24T06:42,0.0
1923,1923,0,8.1,2019-10-25T17:18,2019-10-25T06:44,0.0
1924,1924,1,6.9,2019-11-25T16:44,2019-11-25T07:24,0.0
1925,1925,1,9.3,2019-10-26T17:16,2019-10-26T06:45,0.0
1926,1926,0,11.2,2019-10-27T17:16,2019-10-27T06:47,1.1
1927,1927,0,11.2,2019-10-27T17:14,2019-10-27T06:46,1.1
1928,1928,1,8.8,2019-11-25T16:44,2019-11-25T07:24,0.0
1929,1929,0,11.3,2019-10-27T17:15,2019-10-27T06:46,0.0
1930,1930,0,2.6,2019-11-28T16:43,2019-11-28T07:28,0.0
1931,1931,0,6.6,2019-10-28T17:14,2019-10-28T06:48,0.0
1932,1932,1,2.4,2019-11-28T16:43,2019-11-28T07:27,0.0
