,Sub_Dem_key,Place_name,Population,Population_density_persqm,Pop_perc_over_65,neighborhood_name
2239,2239,Scarborough,0,0,0,Scarborough Village
2240,2240,Etobicoke,0,0,0,Thistletown-Beaumond Heights
2241,2241,Scarborough,0,0,0,Malvern West
2242,2242,Toronto,0,0,0,South Riverdale
2243,2243,York,0,0,0,Keelesdale-Eglinton West
2244,2244,Toronto,0,0,0,St.Andrew-Windfields
2245,2245,Toronto,0,0,0,Don Valley Village
2246,2246,East York,0,0,0,Woodbine-Lumsden
2247,2247,Toronto,0,0,0,Regent Park
2248,2248,Toronto,0,0,0,Oakdale-Beverley Heights
2249,2249,Toronto,0,0,0,Yonge-Eglinton
2250,2250,Etobicoke,0,0,0,Mimico-Queensway
2251,2251,Scarborough,0,0,0,Agincourt North
2252,2252,Toronto,0,0,0,Greenwood-Coxwell
2253,2253,Scarborough,0,0,0,Morningside Heights
2254,2254,Toronto,0,0,0,Downsview
2255,2255,Scarborough,0,0,0,Tam O'Shanter-Sullivan
2256,2256,East York,0,0,0,Thorncliffe Park
2257,2257,Etobicoke,0,0,0,NSA
2258,2258,Etobicoke,0,0,0,West Humber-Clairville
2259,2259,Etobicoke,0,0,0,Etobicoke City Centre
2260,2260,Etobicoke,0,0,0,Etobicoke City Centre
2261,2261,Scarborough,0,0,0,Kennedy Park
2262,2262,Toronto,0,0,0,Bathurst Manor
2263,2263,Scarborough,0,0,0,Clairlea-Birchmount
2264,2264,Toronto,0,0,0,Corso Italia-Davenport
2265,2265,Scarborough,0,0,0,Golfdale-Cedarbrae-Woburn
2266,2266,Toronto,0,0,0,Kensington-Chinatown
2267,2267,Toronto,0,0,0,South Parkdale
2268,2268,Toronto,0,0,0,O'Connor-Parkview
2269,2269,Toronto,0,0,0,Old East York
2270,2270,Toronto,0,0,0,Kensington-Chinatown
2271,2271,Scarborough,0,0,0,East L'Amoreaux
2272,2272,Etobicoke,0,0,0,West Humber-Clairville
2273,2273,Toronto,0,0,0,Church-Wellesley
2274,2274,Toronto,0,0,0,Newtonbrook West
2275,2275,Toronto,0,0,0,Mount Pleasant East
